name
Ryszard J. Zieliński — <strong>przewodniczący</strong>
Zbigniew Jóskiewicz
Robert Borowiec
Kamil Staniec
Michał Kowal
Sławomir Kubal
Piotr Piotrowski
Paweł Bardowski
Magda Bartoszewska
Beata Andrasz
